regime_id,segment_id,frequency,regime,start_date,end_date,start_year_month,end_year_month,start_close,end_close,min_close,max_close,min_drawdown_pct,max_drawdown_pct,observation_count,duration_days,duration_years,segment_return_pct
daily_65,65,daily,bull,2021-10-05,2021-11-25,2021-10,2021-11,51514.8125,57274.6796875,51514.8125,67566.828125,-18.87872738227526,0.0,52,52,0.14236824093086928,11.180992238882759
daily_66,66,daily,bear,2021-11-26,2021-11-26,2021-11,2021-11,53569.765625,53569.765625,53569.765625,53569.765625,-20.7158792094031,-20.7158792094031,1,1,0.0027378507871321013,0.0
daily_67,67,daily,bull,2021-11-27,2021-12-02,2021-11,2021-12,54815.078125,56477.81640625,54815.078125,57806.56640625,-18.872796539167126,-14.445345429999046,6,6,0.01642710472279261,3.0333593203284437
daily_68,68,daily,bear,2021-12-03,2024-02-25,2021-12,2024-02,53598.24609375,51733.23828125,15787.2841796875,53598.24609375,-76.63456370856909,-20.673727654357023,815,815,2.2313483915126624,-3.47960604762676
daily_69,69,daily,bull,2024-02-26,2024-04-30,2024-02,2024-04,54522.40234375,60636.85546875,54522.40234375,73083.5,-19.30596143586546,0.0,65,65,0.17796030116358658,11.214570272325709
daily_70,70,daily,bear,2024-05-01,2024-05-01,2024-05,2024-05,58254.01171875,58254.01171875,58254.01171875,58254.01171875,-20.291157759617427,-20.291157759617427,1,1,0.0027378507871321013,0.0
daily_71,71,daily,bull,2024-05-02,2024-07-03,2024-05,2024-07,59123.43359375,60173.921875,59123.43359375,71448.1953125,-19.101529628780778,-2.2375839792839747,63,63,0.17248459958932238,1.7767714379853805
daily_72,72,daily,bear,2024-07-04,2024-07-12,2024-07,2024-07,56977.703125,57899.46484375,55849.109375,58303.5390625,-23.581780600272296,-20.223389598883468,9,9,0.024640657084188913,1.6177586462686966
daily_73,73,daily,bull,2024-07-13,2024-08-03,2024-07,2024-08,59231.953125,60680.09375,59231.953125,68255.8671875,-18.953042581430836,-6.605639867411927,22,22,0.06023271731690623,2.444863875995984
daily_74,74,daily,bear,2024-08-04,2024-08-07,2024-08,2024-08,58116.9765625,55027.4609375,53991.45703125,58116.9765625,-26.123602411967127,-20.47866267693802,4,4,0.010951403148528405,-5.316029511062881
daily_75,75,daily,bull,2024-08-08,2024-08-14,2024-08,2024-08,61710.13671875,58737.26953125,58719.484375,61710.13671875,-19.654252498854053,-15.56214915986509,7,7,0.019164955509924708,-4.817469779801553
daily_76,76,daily,bear,2024-08-15,2024-08-15,2024-08,2024-08,57560.09765625,57560.09765625,57560.09765625,57560.09765625,-21.240638918155263,-21.240638918155263,1,1,0.0027378507871321013,0.0
daily_77,77,daily,bull,2024-08-16,2024-08-31,2024-08,2024-08,58894.10546875,58969.8984375,58483.96484375,64333.54296875,-19.976513380243144,-11.97254788187484,16,16,0.04380561259411362,0.12869364114922455
daily_78,78,daily,bear,2024-09-01,2024-09-01,2024-09,2024-09,57325.48828125,57325.48828125,57325.48828125,57325.48828125,-21.56165443465351,-21.56165443465351,1,1,0.0027378507871321013,0.0
daily_79,79,daily,bull,2024-09-02,2024-09-02,2024-09,2024-09,59112.48046875,59112.48046875,59112.48046875,59112.48046875,-19.116516766780467,-19.116516766780467,1,1,0.0027378507871321013,0.0
daily_80,80,daily,bear,2024-09-03,2024-09-12,2024-09,2024-09,57431.0234375,58127.01171875,53948.75390625,58127.01171875,-26.1820330084766,-20.464931593656566,10,10,0.02737850787132101,1.2118681499859063
daily_81,81,daily,bull,2024-09-13,2024-09-15,2024-09,2024-09,60571.30078125,59182.8359375,59182.8359375,60571.30078125,-19.020249526226852,-17.12041598821895,3,3,0.008213552361396304,-2.292281700808052
daily_82,82,daily,bear,2024-09-16,2024-09-16,2024-09,2024-09,58192.5078125,58192.5078125,58192.5078125,58192.5078125,-20.37531342573905,-20.37531342573905,1,1,0.0027378507871321013,0.0
daily_83,83,daily,bull,2024-09-17,2025-02-25,2024-09,2025-02,60308.5390625,88736.171875,60274.5,106146.265625,-17.52652787564909,0.0,162,162,0.44353182751540043,47.136994618688036
daily_84,84,daily,bear,2025-02-26,2025-02-28,2025-02,2025-02,84347.0234375,84373.0078125,84347.0234375,84704.2265625,-20.53698456478318,-20.20046483618344,3,3,0.008213552361396304,0.03080651093663178
daily_85,85,daily,bull,2025-03-01,2025-03-08,2025-03,2025-03,86031.9140625,86154.59375,86031.9140625,94248.3515625,-18.94965540621204,-11.208980355968123,8,8,0.02190280629705681,0.14259788223573988
daily_86,86,daily,bear,2025-03-09,2025-03-18,2025-03,2025-03,80601.0390625,82718.5,78532.0,84343.109375,-26.01529640482818,-20.540671988431058,10,10,0.02737850787132101,2.627088883876638
daily_87,87,daily,bull,2025-03-19,2025-03-19,2025-03,2025-03,86854.2265625,86854.2265625,86854.2265625,86854.2265625,-18.17495787431288,-18.17495787431288,1,1,0.0027378507871321013,0.0
daily_88,88,daily,bear,2025-03-20,2025-03-22,2025-03,2025-03,84167.1953125,83832.484375,83832.484375,84167.1953125,-21.021729891875317,-20.70639996902859,3,3,0.008213552361396304,-0.3976738636202293
daily_89,89,daily,bull,2025-03-23,2025-03-27,2025-03,2025-03,86054.375,87177.1015625,86054.375,87498.9140625,-18.928495040967206,-17.567600190833378,5,5,0.013689253935660506,1.3046711018469326
daily_90,90,daily,bear,2025-03-28,2025-03-31,2025-03,2025-03,84353.1484375,82548.9140625,82334.5234375,84353.1484375,-22.43295329072016,-20.53121422518249,4,4,0.010951403148528405,-2.138905788841794
daily_91,91,daily,bull,2025-04-01,2025-04-01,2025-04,2025-04,85169.171875,85169.171875,85169.171875,85169.171875,-19.762441595551895,-19.762441595551895,1,1,0.0027378507871321013,0.0
daily_92,92,daily,bear,2025-04-02,2025-04-11,2025-04,2025-04,82485.7109375,83404.8359375,76271.953125,83843.8046875,-28.14447811620787,-21.01106506779192,10,10,0.02737850787132101,1.1142839039072205
daily_93,93,daily,bull,2025-04-12,2025-04-12,2025-04,2025-04,85287.109375,85287.109375,85287.109375,85287.109375,-19.651333117730672,-19.651333117730672,1,1,0.0027378507871321013,0.0
daily_94,94,daily,bear,2025-04-13,2025-04-18,2025-04,2025-04,83684.9765625,84450.8046875,83668.9921875,84895.75,-21.17575527047657,-20.020031321756637,6,6,0.01642710472279261,0.9151321497091525
daily_95,95,daily,bull,2025-04-19,2025-11-12,2025-04,2025-11,85063.4140625,101663.1875,85063.4140625,124752.53125,-19.862075635315122,0.0,208,208,0.5694729637234771,19.51458640644659
daily_96,96,daily,bear,2025-11-13,2026-02-24,2025-11,2026-02,99697.4921875,63018.984375,62702.09765625,99697.4921875,-49.7388172985468,-20.08379213748418,104,104,0.28473648186173856,-36.78979983119247
