month_end,month_end_close,ath_close,drawdown_pct,monthly_return_pct,regime,year,month,year_month
2022-08-31,20049.763671875,61318.95703125,-67.30250375645328,-14.085561097213029,bear,2022,8,2022-08
2022-09-30,19431.7890625,61318.95703125,-68.31030727969333,-3.0822039575552185,bear,2022,9,2022-09
2022-10-31,20495.7734375,61318.95703125,-66.57514343067719,5.475483351418764,bear,2022,10,2022-10
2022-11-30,17168.56640625,61318.95703125,-72.00120935276121,-16.233625149087516,bear,2022,11,2022-11
2022-12-31,16547.49609375,61318.95703125,-73.01406140140823,-3.617484988577191,bear,2022,12,2022-12
2023-01-31,23139.283203125,61318.95703125,-62.264062659558085,39.835556219679205,bear,2023,1,2023-01
2023-02-28,23147.353515625,61318.95703125,-62.250901456415164,0.034877106732977836,bear,2023,2,2023-02
2023-03-31,28478.484375,61318.95703125,-53.55680240861484,23.031275933019145,bear,2023,3,2023-03
2023-04-30,29268.806640625,61318.95703125,-52.26793139076269,2.7751556410733347,bear,2023,4,2023-04
2023-05-31,27219.658203125,61318.95703125,-55.60971758007391,-7.0011342199917,bear,2023,5,2023-05
2023-06-30,30477.251953125,61318.95703125,-50.2971781832609,11.967798146804087,bear,2023,6,2023-06
2023-07-31,29230.111328125,61318.95703125,-52.3310363657548,-4.092037651288716,bear,2023,7,2023-07
2023-08-31,25931.47265625,61318.95703125,-57.71051252056597,-11.285070504336648,bear,2023,8,2023-08
2023-09-30,26967.916015625,61318.95703125,-56.02026302912926,3.9968549920561314,bear,2023,9,2023-09
2023-10-31,34667.78125,61318.95703125,-43.46319159940661,28.55194754356902,bear,2023,10,2023-10
2023-11-30,37712.74609375,61318.95703125,-38.49741104609714,8.783270039094294,bear,2023,11,2023-11
2023-12-31,42265.1875,61318.95703125,-31.073212027301157,12.071360157473276,bear,2023,12,2023-12
2024-01-31,42582.60546875,61318.95703125,-30.555561395069695,0.7510151676246579,bear,2024,1,2024-01
2024-02-29,61198.3828125,61318.95703125,-0.19663449051906534,43.716858418659974,bull,2024,2,2024-02
2024-03-31,71333.6484375,71333.6484375,0.0,16.561329171152273,bull,2024,3,2024-03
2024-04-30,60636.85546875,71333.6484375,-14.995437921729394,-14.995437921729394,bull,2024,4,2024-04
2024-05-31,67491.4140625,71333.6484375,-5.386286078394587,11.304277803921714,bull,2024,5,2024-05
2024-06-30,62678.29296875,71333.6484375,-12.133622292337275,-7.131456883230869,bull,2024,6,2024-06
2024-07-31,64619.25,71333.6484375,-9.412666510928458,3.0966973402063003,bull,2024,7,2024-07
2024-08-31,58969.8984375,71333.6484375,-17.332283250355097,-8.742521094720225,bull,2024,8,2024-08
2024-09-30,63329.5,71333.6484375,-11.220719271793522,7.392927032290175,bull,2024,9,2024-09
2024-10-31,70215.1875,71333.6484375,-1.5679289676034935,10.872796248193971,bull,2024,10,2024-10
2024-11-30,96449.0546875,96449.0546875,0.0,37.36209803256596,bull,2024,11,2024-11
2024-12-31,93429.203125,96449.0546875,-3.1310328258628117,-3.1310328258628117,bull,2024,12,2024-12
2025-01-31,102405.0234375,102405.0234375,0.0,9.607082167329573,bull,2025,1,2025-01
2025-02-28,84373.0078125,102405.0234375,-17.608526437187265,-17.608526437187265,bull,2025,2,2025-02
2025-03-31,82548.9140625,102405.0234375,-19.389780606923658,-2.1619399346929025,bull,2025,3,2025-03
2025-04-30,94207.3125,102405.0234375,-8.005184377017638,14.123018539860022,bull,2025,4,2025-04
2025-05-31,104638.09375,104638.09375,0.0,11.072156686350642,bull,2025,5,2025-05
2025-06-30,107135.3359375,107135.3359375,0.0,2.3865516830480216,bull,2025,6,2025-06
2025-07-31,115758.203125,115758.203125,0.0,8.048574368152783,bull,2025,7,2025-07
2025-08-31,108236.7109375,115758.203125,-6.497588926270748,-6.497588926270748,bull,2025,8,2025-08
2025-09-30,114056.0859375,115758.203125,-1.4704074022831803,5.376526087678624,bull,2025,9,2025-09
2025-10-31,109556.1640625,115758.203125,-5.357753398955934,-3.9453588451788923,bull,2025,10,2025-10
2025-11-30,90394.3125,115758.203125,-21.91109566344178,-17.49043673304268,bear,2025,11,2025-11
2025-12-31,87508.828125,115758.203125,-24.403778079982185,-3.1921083253993454,bear,2025,12,2025-12
2026-01-31,78621.1171875,115758.203125,-32.08160193830756,-10.156359224471101,bear,2026,1,2026-01
2026-02-28,63018.984375,115758.203125,-45.55981116349071,-19.84471013721564,bear,2026,2,2026-02
